CLAVE CCT,TURNO,NIVEL,SOSTENIMIENTO,NOMBRE,CALLE,NUMERO,COLONIA,LOCALIDAD,MUNICIPIO,LATITUD,LONGITUD
 01DBH0004I, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 8/4 FRIDA KAHLO, AVENIDA PROFESOR JOSE TRINIDAD VELA SALAS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879081, -102.254873
 01DBH0005H, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 8/5 EZEQUIEL A. CHAVEZ, CALLE LIBRA, 602, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.870294, -102.262638
 01DBP0001U, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 5/1 LIC. JESUS REYES HEROLES, BOULEVARD NAZARIO ORTIZ GARZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.899474, -102.272077
 01DBP0002T, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 6/1 AGUASCALIENTES, CALLE SAN FRANCISCO DE LOS VIVEROS, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879113, -102.254506
 01DBT0028N, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 28, CALLE LICENCIADO MARIANO ESCOBEDO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.878933, -102.275998
 01DBT0164R, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 164, CALLE PRIMO VERDAD, 207, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.883951, -102.292657
 01DBT0172Z, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 172, CALLE MONROY, 216, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879269, -102.305026
 01DCM0001W, 2 - VESPERTINO (INACTIVO) 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS EN AGUAS CONTINENTALES NUM. 05, CALLE HACIENDA MESILLAS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.890421, -102.250565
 01DCT0001F, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 168, CALLE RIO RHIN, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.894981, -102.322852
 01DCT0002E, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM. 80, CALLE CORONEL LUIS MOYA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.848263, -102.310702
 01DCT0003D, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 195, AVENIDA REVOLUCION, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.885964, -102.264229
 01DCT0004C, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM. 155, AVENIDA PERSEO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869554, -102.270634
 01DCT0199F, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 39, CALLE NIZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.873664, -102.319873
 01DCT0279R, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 279, CALLE CARRETERA MEXICO 45 AGUASCALIENTES-PEÑUELAS KILOMETRO 20.9, 0, RURAL, PEÑUELAS (EL CIENEGAL), AGUASCALIENTES, 21.721772, -102.276207
 01DCT0281F, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 281, AVENIDA MISION DE SAN CRISTOBAL MAGALLANES JARA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.84663, -102.271163
